logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B
UBASH3A	-2.18002745896639	-2.42015218097826	-1.93990273695452	3.28216567061307	-17.90221993219	2.01330322825852e-43	5.51055825061392e-41	88.1701597737227
TIGIT	-1.71760420696358	-1.90690498692647	-1.5283034270007	2.80807504457789	-17.8917364067197	2.16443073371883e-43	5.76168128860708e-41	88.0982600390905
ZNHIT6	-1.98798116977871	-2.20711590520558	-1.76884643435184	3.31863175623116	-17.8888672834857	2.20773743904923e-43	5.76168128860708e-41	88.0785808039643
LDOC1L	-2.25200966222689	-2.50035642262446	-2.00366290182931	3.85192565089447	-17.8810719133077	2.32983568408405e-43	5.94214001063437e-41	88.02510874206
DPP4	-3.3084382105028	-3.67475673093705	-2.94211969006855	3.81118374564322	-17.8092631480533	3.82638334930382e-43	9.54214976575277e-41	87.5322763061666
WDR82	-1.46927927440756	-1.6320037699689	-1.30655477884622	8.17899113827136	-17.8046408651549	3.9506143992524e-43	9.63778147574139e-41	87.5005368377479
EVL	-2.88590962884034	-3.20588040296978	-2.56593885471089	5.26897396776382	-17.7850141317875	4.52474075599818e-43	1.0803540588045e-40	87.3657458118527
GTPBP3	-1.47245705882773	-1.63594968652499	-1.30896443113048	3.01531838348744	-17.7593171807022	5.40469552863965e-43	1.26357277546654e-40	87.1892133042109
CD177	6.80202438372128	6.04315310101107	7.5608956664315	7.30138201983417	17.6746924419548	9.70759523898136e-43	2.22323742391528e-40	86.6074386610831
GADD45A	4.10727128287535	3.64819362446067	4.56634894129004	7.47716595012563	17.6420492580444	1.21701124015548e-42	2.73146002740495e-40	86.3828534240675
SBK1	-2.15357472727451	-2.39438140503886	-1.91276804951016	4.14555348778392	-17.6349088540842	1.27872349561027e-42	2.81369315053695e-40	86.3337147987215
GAL3ST4	-1.59117843219328	-1.76934371846824	-1.41301314591831	2.62101252391457	-17.6107394957323	1.51183729537929e-42	3.26266117860507e-40	86.1673533204288
IRAK3	2.66660275587395	2.36740104027859	2.96580447146931	8.24709508025126	17.5742193885509	1.94733323065296e-42	4.12320254988444e-40	85.9158820108771
SGK223	-1.68581506273109	-1.87523598797399	-1.4963941374882	5.46170898047739	-17.5494607291061	2.31205948684984e-42	4.80480214100536e-40	85.7453315126667
SIDT1	-2.14307861190336	-2.38467217582493	-1.9014850479818	3.55965646772362	-17.4918015301325	3.44924473967643e-42	7.03771353975435e-40	85.347938088629
NLRC3	-2.72065810405602	-3.02819378844627	-2.41312241966577	4.97907862941709	-17.444569352076	4.78767638890955e-42	9.50414515657204e-40	85.0221947870711
TTC39C	-2.71475465277731	-3.02164398578214	-2.40786531977248	4.06654105556784	-17.4433780065059	4.82744852900202e-42	9.50414515657204e-40	85.0139760303185
BACH2	-1.95465369217507	-2.17687832314929	-1.73242906120085	3.00885604601508	-17.3444059575478	9.60238579007802e-42	1.85789609200441e-39	84.3307742970479
ANAPC1	-1.56704341259244	-1.7455715756859	-1.38851524949897	3.82024216531658	-17.3083668336987	1.23373036558007e-41	2.34659697670162e-39	84.0817920016218
TSHZ1	-2.35253609027731	-2.62084186052695	-2.08423032002768	4.32030563080905	-17.289724823981	1.40455562262455e-41	2.62698719951545e-39	83.9529580412339
CCR6	-1.45273259959944	-1.61908786923775	-1.28637732996113	2.84990219226131	-17.2199116599944	2.28327821343718e-41	4.20048329691673e-39	83.4702274165515
GATA3	-2.10364354740336	-2.34541352693928	-1.86187356786745	4.6877755391608	-17.1574040258723	3.52892537117314e-41	6.38735492182339e-39	83.0376730389399
TNFRSF25	-3.08402314518067	-3.43861052846099	-2.72943576190035	4.39090295065327	-17.1504748672039	3.70349155274264e-41	6.58533650243796e-39	82.9897035836148
IL11RA	-1.39606355726611	-1.55659558318317	-1.23553153134904	3.35051632027638	-17.1484670518795	3.75567221668178e-41	6.58533650243796e-39	82.9758030760715
CCDC88C	-2.30238457865126	-2.56721399854573	-2.03755515875679	4.13130879462312	-17.143261029716	3.89442642092932e-41	6.7235774301029e-39	82.9397592289836
PLEKHA1	-2.94465960179411	-3.28354054704262	-2.60577865654561	4.04063566971357	-17.1344334024067	4.14154244404755e-41	7.04187716774268e-39	82.8786362459116
NONO	-1.33007309052381	-1.48354955642473	-1.17659662462289	8.77602053075879	-17.0889554014894	5.6866063339123e-41	9.5246412356961e-39	82.5636450725807
RFTN1	-2.78983135424089	-3.111853224273	-2.46780948420879	5.16085097117588	-17.0834028643393	5.91111106368923e-41	9.75507181716479e-39	82.5251756095812
DOCK10	-2.60811433029832	-2.90932477246974	-2.3069038881269	4.85101069319598	-17.0741228218484	6.30632346564451e-41	1.01340141329191e-38	82.4608755255129
CLEC4D	4.82898183703781	4.27127284684154	5.38669082723409	7.20340000055276	17.0737817652681	6.32134191146263e-41	1.01340141329191e-38	82.4585122631872
CD5	-2.69782518544258	-3.00949684756294	-2.38615352332221	4.51128390063317	-17.0686151774988	6.55328457139966e-41	1.03578816141193e-38	82.4227106176336
ZAP70	-2.58846313658543	-2.88800616430885	-2.28892010886201	4.03881052462814	-17.0398029633922	8.01214378110069e-41	1.24878163210433e-38	82.223018936902
DDX47	-2.2612674570098	-2.5230125495386	-1.99952236448101	4.42179309429146	-17.0355117445543	8.25566107606993e-41	1.26910998076242e-38	82.1932717609595
GYG1	3.06932509518627	2.71350257264845	3.4251476177241	9.25899380448744	17.0094885598502	9.89965024262438e-41	1.50126858138825e-38	82.01284538465
QRICH1	-1.05127157104062	-1.17322705991706	-0.929316082164171	6.07097690746734	-16.9979038442325	1.07333867652911e-40	1.59686924496001e-38	81.9325081140968
KIAA1147	-2.14486288886134	-2.39369909807477	-1.89602667964791	3.82090962262312	-16.9968232322873	1.08146553748851e-40	1.59686924496001e-38	81.925013791506
MTR	-1.74264127983474	-1.94532922511986	-1.53995333454962	3.5871315130402	-16.9535978316295	1.46245912977223e-40	2.13139173432518e-38	81.6251601438899
PECI	-2.20595678293558	-2.46341321292418	-1.94850035294697	4.66771124133166	-16.8956559183145	2.19218140160959e-40	3.15393072934138e-38	81.2229926603681
ABLIM1	-3.28108918029131	-3.66487439192118	-2.89730396866145	5.94559821680402	-16.8582153795698	2.84791976852003e-40	4.04548805599136e-38	80.9629866418453
CD74	-2.76604555370448	-3.09070276987146	-2.4413883375375	7.57353890490452	-16.800262488099	4.27104508812447e-40	5.99120849736661e-38	80.5603246328113
SRRM1	-1.58624296986695	-1.7724600879924	-1.4000258517415	6.7292584669598	-16.7970072047437	4.36942058931422e-40	6.05353553744249e-38	80.5376991962152
Septin 1	-1.86461974307843	-2.08357183500134	-1.64566765115553	2.98699003943216	-16.7927947116241	4.50009926864786e-40	6.15855048692271e-38	80.5084196274546
NUP93	-2.1263569917465	-2.37607040590803	-1.87664357758497	3.84387145552261	-16.790982401905	4.55751767883483e-40	6.1619835411909e-38	80.4958224909064
ZNF529	-1.83016736460224	-2.04520018035763	-1.61513454884686	3.14458584656281	-16.7829331375948	4.8215356885739e-40	6.44134208299717e-38	80.439870131529
OXNAD1	-2.11421642859524	-2.36282766534156	-1.86560519184891	4.78878888741206	-16.7691283426575	5.31049395406207e-40	7.01110154735112e-38	80.3438985632977
Septin 9	-2.08093948064005	-2.32610909247833	-1.83576986880178	8.45748650442211	-16.7368841452025	6.6548920093073e-40	8.68386024749379e-38	80.1196808518898
CYB561	-2.43899238137395	-2.72715688419942	-2.15082787854847	4.30271499995477	-16.6898241717203	9.25205682046583e-40	1.1934089843594e-37	79.7923020747862
GCET2	-1.40501135301961	-1.57125072895351	-1.23877197708571	2.87530571050251	-16.6658601468729	1.09429208530963e-39	1.39547111151644e-37	79.625531777556
SMAD3	-2.35966404317507	-2.63918048382187	-2.08014760252828	4.05225746341709	-16.6465644594218	1.25268174799423e-39	1.57950500853834e-37	79.4912194484537
CD160	-2.40354678915826	-2.68894362511466	-2.11814995320187	3.28525470521608	-16.6067721193406	1.65556323686843e-39	2.06430340490417e-37	79.2141516124776
CD247	-2.44966272782353	-2.7410929875258	-2.15823246812126	4.72982641264824	-16.5749966945782	2.06864763516439e-39	2.55102898481481e-37	78.9928241679194
WWP1	-1.6890291262437	-1.89010556412257	-1.48795268836482	4.04880184392965	-16.5637152256005	2.2389296832239e-39	2.73100748968897e-37	78.9142276325411
PAFAH2	-1.31820669419748	-1.47523663805508	-1.16117675033988	3.61799668527136	-16.5532333295291	2.40970003187477e-39	2.90770470512889e-37	78.8411936843891
SLC7A6	-1.62858232247199	-1.82298402749541	-1.43418061744857	3.23694450273367	-16.5192926176289	3.05739589856021e-39	3.65001029506837e-37	78.6046552921916
DNMT1	-2.35928447330812	-2.64098757304093	-2.07758137357531	5.96568638821106	-16.5146921798451	3.15767890706475e-39	3.73004975737691e-37	78.5725879828798
SIRPG	-2.1986110947521	-2.46132011630175	-1.93590207320245	3.45557600554271	-16.5027084716071	3.43464629811717e-39	4.01495841223655e-37	78.4890488480003
FAM50B	-1.10019958839916	-1.23204893497202	-0.968350241826294	2.82848545938191	-16.4541440750223	4.82947303220486e-39	5.58725220282504e-37	78.1504035340637
ARHGEF18	-1.65905604521709	-1.85807895887975	-1.46003313155443	7.61695236409548	-16.4376518116099	5.42227571812626e-39	6.20905899069519e-37	78.0353647996034
THEM4	-1.6957658644888	-1.89934741234283	-1.49218431663476	2.86302939809045	-16.4251474190815	5.91984616737559e-39	6.710354918211e-37	77.9481305790361
NAT10	-1.33895361912465	-1.49988379316444	-1.17802344508486	3.06533886263317	-16.4062699028613	6.75897640481367e-39	7.5849233214819e-37	77.8164158846012
RSAD1	-1.81327942765546	-2.03135858595017	-1.59520026936076	3.61090247602513	-16.3957909185686	7.27516692953516e-39	8.08335874091521e-37	77.7432903292915
HLA-DPB1	-2.94784034344958	-3.30268919587622	-2.59299149102295	7.31633869207035	-16.3810732593157	8.06749504805897e-39	8.875826414639e-37	77.6405737605359
PDE4DIP	-2.49989330515126	-2.80252242351902	-2.1972641867835	3.78895364878392	-16.2889301237916	1.54154879094708e-38	1.67953985747652e-36	76.9971731472957
INPP4B	-2.15106438664006	-2.41167198090229	-1.89045679237782	3.02769812939196	-16.2760172831199	1.68805206116582e-38	1.80886945450874e-36	76.9069640309823
MBOAT2	2.12789529452521	1.87008878637711	2.38570180267331	7.11181726119095	16.2756438172589	1.69249057853696e-38	1.80886945450874e-36	76.9043548404114
MYCL1	-1.9126536395098	-2.14525904989475	-1.68004822912485	3.38546047459799	-16.2143042678496	2.60546761236439e-38	2.75835448546728e-36	76.4756914823379
FAM78A	-1.6403119442507	-1.83984414991792	-1.44077973858348	6.38875873454271	-16.2104564352421	2.67696160414271e-38	2.80755730109248e-36	76.4487935662244
PASK	-2.44636560690476	-2.74424831782944	-2.14848289598009	3.16737739286432	-16.1941390615563	3.00262982886297e-38	3.11995480921299e-36	76.3347182901937
IL2RB	-3.78170598826051	-4.2426226033229	-3.32078937319811	5.92032121722613	-16.1788331749479	3.34408416781624e-38	3.4428727092875e-36	76.2276994231827
EIF3D	-1.20007677263585	-1.34701486902878	-1.05313867624292	8.09446166941709	-16.1048402165304	5.62976003379641e-38	5.74337882720575e-36	75.7101389413377
CKAP4	2.21234060578991	1.94087127434635	2.48380993723348	9.18490268017588	16.0698941668255	7.20073983166125e-38	7.2798830982795e-36	75.4655867534735
BCKDHB	-1.35938598229972	-1.52628649249522	-1.19248547210422	3.8194889908392	-16.0607906960606	7.67761728773956e-38	7.69269832169762e-36	75.4018688918375
METTL9	1.82330688769748	1.59940863849	2.04720513690495	10.1405132232261	16.057978584942	7.83122492162466e-38	7.77716867880283e-36	75.3821851178173
TRIT1	-1.49442684776891	-1.67815611126266	-1.31069758427515	3.03250560421608	-16.0390309892122	8.94957259226388e-38	8.80983365178818e-36	75.24954665751
LRPPRC	-1.96891186962605	-2.21123631256504	-1.72658742668705	3.55805212841709	-16.021783302278	1.01060556701912e-37	9.86175275920749e-36	75.1287898757411
SSBP2	-1.81161064015266	-2.03498390311858	-1.58823737718674	4.06888736323116	-15.9924673928425	1.24253307038236e-37	1.20204363067507e-35	74.9235001045823
TRD@	-2.76979051302381	-3.11158262046956	-2.42799840557806	7.02641280244221	-15.9796290319812	1.36021838797296e-37	1.30464707263527e-35	74.8335817636509
NOLC1	-2.2596374727521	-2.53868521044306	-1.98058973506114	4.95646613566332	-15.9676888679219	1.47966507419747e-37	1.40718656463085e-35	74.749945885936
SH3YL1	-2.99460256695658	-3.36466279912886	-2.6245423347843	3.96932752321608	-15.9569018964765	1.59658012016047e-37	1.49566118685197e-35	74.6743807164019
FAIM3	-3.38952818936415	-3.80839810782107	-2.97065827090723	5.42974114195477	-15.9566558122883	1.59935254341683e-37	1.49566118685197e-35	74.6726567646651
RRP1B	-2.68590427803081	-3.01806004348984	-2.35374851257179	4.50060526328643	-15.9452207157632	1.73364067225886e-37	1.60784426645363e-35	74.5925440300053
GPR18	-3.23875843805882	-3.63969691756579	-2.83781995855186	5.23137357454774	-15.928783807003	1.94668353394038e-37	1.79062972277696e-35	74.4773764675001
ABHD15	-1.48883854468487	-1.67339152758592	-1.30428556178383	2.87870354029146	-15.9077345060652	2.25821924554921e-37	2.06030377020758e-35	74.3298696059722
TIAM1	-2.94086303203922	-3.30625414015102	-2.57547192392742	4.24541704864824	-15.8707928471401	2.93047673335849e-37	2.65208144368943e-35	74.0709352592747
MAP3K4	-1.74168863371569	-1.95814325367894	-1.52523401375243	3.57700322652764	-15.8666578737806	3.01722666197661e-37	2.70874540805612e-35	74.0419474586176
SAMD3	-2.53381332598179	-2.84893518359427	-2.21869146836932	3.72207993335678	-15.8554249899533	3.26608734887749e-37	2.90889144675422e-35	73.9631958315385
MDN1	-1.83351079957283	-2.06192005853361	-1.60510154061205	4.04364441784925	-15.8289303078523	3.93753665862836e-37	3.47929420339586e-35	73.7774197848421
KLRG1	-3.4878952692367	-3.92247424724598	-3.05331629122741	4.16632819155276	-15.8261953126221	4.0142769345183e-37	3.51939185618471e-35	73.7582403467225
DENND2D	-2.03997128104062	-2.29431663538259	-1.78562592669865	7.30211969054271	-15.815467835888	4.3300065654625e-37	3.7667700525287e-35	73.6830089719425
SERPINB1	1.97210092734594	1.72556563203369	2.21863622265819	10.2088196411809	15.773636658796	5.81744344969498e-37	5.0217961840367e-35	73.3895907514475
DHRS3	-2.29955321552101	-2.58708838744974	-2.01201804359228	3.46293428250251	-15.7700942041946	5.96477750760382e-37	5.10967428933817e-35	73.3647385705091
GRB10	3.56552837507563	3.11951124158702	4.01154550856424	5.83801905517588	15.7635545585658	6.24665081195268e-37	5.31059965240402e-35	73.3188578146466
CCR3	-3.96531702221989	-4.46143363403915	-3.46920041040062	4.51616852088442	-15.7607160498247	6.37311052405811e-37	5.37737190232933e-35	73.2989427572806
TTC27	-1.36388005326331	-1.53469643166598	-1.19306367486063	2.75304130770854	-15.7444852887969	7.14703920994769e-37	5.94600118182134e-35	73.1850593277944
PRPF19	-1.70795315793838	-1.92186387643811	-1.49404243943864	4.81653773374874	-15.7443671454523	7.15300445148709e-37	5.94600118182134e-35	73.1842303233969
LCK	-3.29895763154902	-3.71254507623235	-2.8853701868657	5.12330166380905	-15.7286406763842	7.99323057263481e-37	6.59559069750793e-35	73.0738723322751
CLIC3	-2.87631421945518	-3.23777036816278	-2.51485807074758	3.44017151191457	-15.6914295321353	1.03961473825802e-36	8.51573473922007e-35	72.812699294416
IMP3	-1.94160731852381	-2.18570625881515	-1.69750837823246	6.2842740741005	-15.6847393417895	1.08993016489732e-36	8.86318573223027e-35	72.7657356564585
CNIH4	2.3130490154986	2.02195142524614	2.60414660575105	8.60471480644221	15.6685217598626	1.22224993431665e-36	9.86768975748306e-35	72.6518826643502
NDNL2	-1.58129743883053	-1.78080515130508	-1.38178972635599	5.04131031028141	-15.6291614635107	1.61419092910334e-36	1.2938893290284e-34	72.3755062805358
SPOCK2	-3.24693026230812	-3.65699887644627	-2.83686164816997	6.02046764457286	-15.6134267410541	1.80406914176594e-36	1.43583431977996e-34	72.2650007271974
WBP11	-1.18383477658964	-1.33347887774854	-1.03419067543074	4.85779331437688	-15.5995938479587	1.98938112717748e-36	1.56524092737015e-34	72.1678420169612
DDX18	-2.16834453423529	-2.44244327227364	-1.89424579619695	5.17870100507538	-15.5992261026738	1.99455937100278e-36	1.56524092737015e-34	72.165258943785
FBXO21	-2.4014069832437	-2.70557241618416	-2.09724155030323	4.18716868029648	-15.5681752500474	2.48417884423644e-36	1.93593437430704e-34	71.9471321911387
PRKCH	-2.97591155131373	-3.35320970817821	-2.59861339444925	6.25770315133166	-15.553106110059	2.76348407446249e-36	2.13874608852538e-34	71.8412578954758
HLA-DRB1	-3.07922166411905	-3.46993972447389	-2.68850360376421	8.4697653068593	-15.5402952872688	3.02551894630132e-36	2.32079034915159e-34	71.7512420540183
LILRA5	2.33950236471429	2.04262387804966	2.63638085137892	9.52717869415578	15.5391250050239	3.05066175954897e-36	2.32079034915159e-34	71.7430186351092
SMYD4	-1.28714336923249	-1.45048436776158	-1.12380237070341	3.0675825691608	-15.5386583174516	3.06074649504933e-36	2.32079034915159e-34	71.739739265597
ITFG2	-1.97602314142017	-2.22682854047511	-1.72521774236523	4.02022711649246	-15.5359188656002	3.12062025349941e-36	2.35030875736714e-34	71.7204891947489
GPR183	-3.18402685194398	-3.58822492097875	-2.7798287829092	5.02616334706533	-15.5333199082029	3.17850668492603e-36	2.37794680121599e-34	71.7022260578425
MAFG	1.59262618069888	1.39041632987307	1.79483603152468	6.96856624413065	15.5307826296685	3.23605601787998e-36	2.40496825381782e-34	71.6843960466331
HEATR2	-2.02509826522269	-2.28231498021259	-1.76788155023279	4.17397426788945	-15.5248965043842	3.37361057456511e-36	2.49070117551116e-34	71.6430318257851
FTO	-1.64291183442297	-1.85192168787276	-1.43390198097318	4.93070133916583	-15.499914290679	4.0256325486815e-36	2.95265676217672e-34	71.4674540656234
CHMP7	-1.70039270676331	-1.91704284084194	-1.48374257268467	5.81755233464824	-15.4764757242562	4.75163153247104e-36	3.46252006866169e-34	71.302699773812
HNRNPR	-1.7526781502381	-1.97603241167956	-1.52932388879663	6.90897523234673	-15.4735416795744	4.85129364703042e-36	3.51233660045002e-34	71.282074078748
DDX19A	-1.2726897547451	-1.43500156232723	-1.11037794716296	2.99605576546231	-15.4615928623794	5.27924525294717e-36	3.79767245054956e-34	71.1980725778013
TNKS	-1.15489414520728	-1.30235540216462	-1.00743288824995	3.19152557211055	-15.4435112076617	5.99977899119328e-36	4.28850444835484e-34	71.0709446675629
NIPAL3	-2.09645817755182	-2.36421477386859	-1.82870158123506	4.34283187846231	-15.4393077407329	6.18091894529021e-36	4.37167817968301e-34	71.0413890326219
ADARB1	-1.90422233164846	-2.14743157068081	-1.66101309261611	3.31309324877889	-15.4390077264149	6.19405480814115e-36	4.37167817968301e-34	71.0392795271361
ZBTB40	-1.62566913882213	-1.83347408616142	-1.41786419148284	4.18846180794472	-15.4261687495563	6.78317493597302e-36	4.75754932071808e-34	70.9490005581973
FAM113B	-2.77913887611064	-3.13445562220263	-2.42382213001865	4.54579661230151	-15.423266844113	6.92391713830642e-36	4.82609926248911e-34	70.9285944435272
SART3	-1.38809126360644	-1.56597862025547	-1.21020390695741	4.69821822155276	-15.3870278060656	8.94836623590067e-36	6.1986769073628e-34	70.6737324304725
CD3E	-1.9187847835098	-2.16486817962373	-1.67270138739588	2.99020283648241	-15.3753762951128	9.71769854797908e-36	6.69030755247983e-34	70.5917779157542
BLCAP	-1.10285794370869	-1.24435053326499	-0.96136535415239	6.94676693228643	-15.3697810259501	1.01103354903413e-35	6.91818200442746e-34	70.5524198492111
C19orf29	-1.29541457428992	-1.46169578246254	-1.1291333661173	4.12194978353769	-15.3619874834086	1.06838319866129e-35	7.26630076083452e-34	70.4975965996891
EXOSC10	-1.62380109170868	-1.83226237208089	-1.41533981133647	3.21343331562814	-15.3599296858223	1.08406168309773e-35	7.32851819742331e-34	70.483120717187
METAP1	-1.77428027789776	-2.00252545539406	-1.54603510040146	5.22950691445729	-15.3285972776996	1.35331412475951e-35	9.09394677128813e-34	70.2626868797828
GZMM	-2.75094929163866	-3.10508437245431	-2.39681421082301	4.15566384652764	-15.3177661197337	1.46119308579674e-35	9.76042191000659e-34	70.1864768736099
USP11	-2.07320450178151	-2.34024784627459	-1.80616115728844	4.52432496145729	-15.3088364761423	1.55657638700213e-35	1.03360356301408e-33	70.1236427433962
POLR1B	-1.41714503401261	-1.59988649348713	-1.23440357453808	3.17366645568342	-15.2918140946329	1.75600631191084e-35	1.15917075483903e-33	70.0038546802145
ATP8B2	-2.95059346287815	-3.33139142934293	-2.56979549641337	5.56004812740704	-15.2790571315413	1.92205526121308e-35	1.26136281528264e-33	69.9140752975951
RFX5	-2.35752169080392	-2.66180300001608	-2.05324038159176	4.29922455237186	-15.2778492511566	1.93856959114693e-35	1.264803950689e-33	69.905574297019
DDX28	-1.46230108763866	-1.65126220241447	-1.27333997286284	3.4379240068995	-15.2597057769869	2.20442336868541e-35	1.42994445337501e-33	69.7778746573537
SLC22A4	1.7739803002535	1.54448266397065	2.00347793653636	8.0651481639799	15.2423656355007	2.49254251600334e-35	1.60754667325227e-33	69.6558173323668
CACNA2D3	-1.95134198396919	-2.20407939238498	-1.6986045755534	3.26717810396482	-15.2245919055574	2.82702274691567e-35	1.81284852947929e-33	69.5306961611598
